REFERENCE_ID,TREATMENT,GENERATION,PATCH,CASTCOUNT,CONFCOUNT
14,D,1,9,0,219
14,D,1,10,0,109
14,D,1,11,0,196
14,D,1,12,0,96
14,D,1,13,0,171
14,D,1,14,0,196
14,D,1,15,0,117
14,D,1,16,0,143
14,D,2,1,65,0
14,D,2,2,97,0
14,D,2,3,15,0
14,D,2,4,7,0
14,D,2,5,0,0
14,D,2,6,0,0
14,D,2,7,0,1
14,D,2,8,0,174
14,D,2,9,0,380
14,D,2,10,0,210
14,D,2,11,0,250
14,D,2,12,0,206
14,D,2,13,0,352
14,D,2,14,0,392
14,D,2,15,0,287
14,D,2,16,0,213
14,D,3,1,186,0
14,D,3,2,197,0
14,D,3,3,148,0
14,D,3,4,53,0
14,D,3,5,50,0
14,D,3,6,67,0
14,D,3,7,1,7
14,D,3,8,0,387
14,D,3,9,0,211
14,D,3,10,0,208
14,D,3,11,0,236
14,D,3,12,0,485
14,D,3,13,0,97
14,D,3,14,0,401
14,D,3,15,0,313
14,D,3,16,0,118
14,D,4,1,233,0
14,D,4,2,197,0
14,D,4,3,175,0
14,D,4,4,121,1
14,D,4,5,154,1
14,D,4,6,157,17
14,D,4,7,13,121
14,D,4,8,5,227
14,D,4,9,0,197
14,D,4,10,0,270
14,D,4,11,0,237
14,D,4,12,0,200
14,D,4,13,0,74
14,D,4,14,0,155
14,D,4,15,0,170
14,D,4,16,0,217
14,D,5,1,40,0
14,D,5,2,69,1
14,D,5,3,60,2
14,D,5,4,68,4
14,D,5,5,32,16
14,D,5,6,44,50
14,D,5,7,29,128
14,D,5,8,4,189
14,D,5,9,2,181
14,D,5,10,0,262
14,D,5,11,0,163
14,D,5,12,0,228
14,D,5,13,0,297
14,D,5,14,0,220
14,D,5,15,0,361
14,D,5,16,0,254
14,D,6,1,132,0
14,D,6,2,224,0
14,D,6,3,88,0
14,D,6,4,334,0
14,D,6,5,37,92
14,D,6,6,91,134
14,D,6,7,35,206
14,D,6,8,9,298
14,D,6,9,6,334
14,D,6,10,0,299
14,D,6,11,1,359
14,D,6,12,0,320
14,D,6,13,0,393
14,D,6,14,0,458
14,D,6,15,0,432
14,D,6,16,0,224
14,D,7,1,345,0
14,D,7,2,170,0
14,D,7,3,260,0
14,D,7,4,448,31
14,D,7,5,190,124
14,D,7,6,189,226
14,D,7,7,45,207
14,D,7,8,16,208
14,D,7,9,12,346
14,D,7,10,2,237
14,D,7,11,6,357
14,D,7,12,0,315
14,D,7,13,1,250
14,D,7,14,0,174
14,D,7,15,0,196
14,D,7,16,0,221
14,D,8,1,215,0
14,D,8,2,279,2
14,D,8,3,265,27
14,D,8,4,177,50
14,D,8,5,115,136
14,D,8,6,50,147
14,D,8,7,53,221
14,D,8,8,18,282
14,D,8,9,64,291
14,D,8,10,8,306
14,D,8,11,7,489
14,D,8,12,2,181
14,D,8,13,2,343
14,D,8,14,3,464
14,D,8,15,0,460
14,D,8,16,0,317
15,D,0,1,50,0
15,D,0,2,0,0
15,D,0,3,0,0
15,D,0,4,0,0
15,D,0,5,0,0
15,D,0,6,0,0
15,D,0,7,0,0
15,D,0,8,0,0
15,D,0,9,0,50
15,D,0,10,0,50
15,D,0,11,0,50
15,D,0,12,0,50
15,D,0,13,0,50
15,D,0,14,0,50
15,D,0,15,0,50
15,D,0,16,0,50
15,D,1,1,108,0
15,D,1,2,0,0
15,D,1,3,0,0
15,D,1,4,0,0
15,D,1,5,0,0
15,D,1,6,0,0
15,D,1,7,0,0
15,D,1,8,0,20
15,D,1,9,0,194
15,D,1,10,0,115
15,D,1,11,0,112
15,D,1,12,0,142
15,D,1,13,0,183
15,D,1,14,0,198
15,D,1,15,0,142
15,D,1,16,0,167
15,D,2,1,26,0
15,D,2,2,32,0
15,D,2,3,26,0
15,D,2,4,0,0
15,D,2,5,0,0
15,D,2,6,0,3
15,D,2,7,0,0
15,D,2,8,0,131
15,D,2,9,0,267
15,D,2,10,0,301
15,D,2,11,0,300
15,D,2,12,0,270
15,D,2,13,0,301
15,D,2,14,0,303
15,D,2,15,0,285
15,D,2,16,0,293
15,D,3,1,120,0
15,D,3,2,67,0
15,D,3,3,42,0
15,D,3,4,43,0
15,D,3,5,19,0
15,D,3,6,0,25
15,D,3,7,0,7
15,D,3,8,0,282
15,D,3,9,0,453
15,D,3,10,0,226
15,D,3,11,0,452
15,D,3,12,0,305
15,D,3,13,0,368
15,D,3,14,0,355
15,D,3,15,0,369
15,D,3,16,0,307
15,D,4,1,131,0
15,D,4,2,118,0
15,D,4,3,131,0
15,D,4,4,148,0
15,D,4,5,80,0
15,D,4,6,0,111
15,D,4,7,0,106
15,D,4,8,0,173
15,D,4,9,0,202
15,D,4,10,0,206
15,D,4,11,0,223
15,D,4,12,0,176
15,D,4,13,0,241
15,D,4,14,0,370
15,D,4,15,0,157
15,D,4,16,0,317
15,D,5,1,162,0
15,D,5,2,80,0
15,D,5,3,56,0
15,D,5,4,124,4
15,D,5,5,72,72
15,D,5,6,30,227
15,D,5,7,6,194
15,D,5,8,0,369
15,D,5,9,0,357
15,D,5,10,0,302
15,D,5,11,0,211
15,D,5,12,0,227
15,D,5,13,0,378
15,D,5,14,0,420
15,D,5,15,0,239
15,D,5,16,0,411
15,D,6,1,252,0
15,D,6,2,141,0
15,D,6,3,195,3
15,D,6,4,119,39
15,D,6,5,127,106
15,D,6,6,50,114
15,D,6,7,7,319
15,D,6,8,1,328
15,D,6,9,0,380
15,D,6,10,0,330
15,D,6,11,0,384
15,D,6,12,0,558
15,D,6,13,0,233
15,D,6,14,0,428
15,D,6,15,0,246
15,D,6,16,0,399
15,D,7,1,213,1
15,D,7,2,223,8
15,D,7,3,186,41
15,D,7,4,159,101
15,D,7,5,77,83
15,D,7,6,96,202
15,D,7,7,20,215
15,D,7,8,3,206
15,D,7,9,17,400
15,D,7,10,1,331
15,D,7,11,0,288
15,D,7,12,0,234
15,D,7,13,0,221
15,D,7,14,0,195
15,D,7,15,0,234
15,D,7,16,0,217
15,D,8,1,186,8
15,D,8,2,267,15
15,D,8,3,144,36
15,D,8,4,128,92
15,D,8,5,108,127
15,D,8,6,41,124
15,D,8,7,23,250
15,D,8,8,25,289
15,D,8,9,16,206
15,D,8,10,6,474
15,D,8,11,13,340
15,D,8,12,5,611
15,D,8,13,3,156
15,D,8,14,0,537
15,D,8,15,0,256
15,D,8,16,0,409
16,D,0,1,50,0
16,D,0,2,0,0
16,D,0,3,0,0
16,D,0,4,0,0
16,D,0,5,0,0
16,D,0,6,0,0
16,D,0,7,0,0
16,D,0,8,0,0
16,D,0,9,0,50
16,D,0,10,0,50
16,D,0,11,0,50
16,D,0,12,0,50
16,D,0,13,0,50
16,D,0,14,0,50
16,D,0,15,0,50
16,D,0,16,0,50
16,D,1,1,24,0
16,D,1,2,44,0
16,D,1,3,25,0
16,D,1,4,0,0
16,D,1,5,0,0
16,D,1,6,0,0
16,D,1,7,0,0
16,D,1,8,0,16
16,D,1,9,0,185
16,D,1,10,0,136
16,D,1,11,0,128
16,D,1,12,0,173
16,D,1,13,0,102
16,D,1,14,0,169
16,D,1,15,0,143
16,D,1,16,0,213
16,D,2,1,52,0
16,D,2,2,77,0
16,D,2,3,135,0
16,D,2,4,0,0
16,D,2,5,0,0
16,D,2,6,0,1
16,D,2,7,0,13
16,D,2,8,0,91
16,D,2,9,0,285
16,D,2,10,0,294
16,D,2,11,0,300
16,D,2,12,0,216
16,D,2,13,0,233
16,D,2,14,0,299
16,D,2,15,0,242
16,D,2,16,0,409
16,D,3,1,111,0
16,D,3,2,136,0
16,D,3,3,163,0
16,D,3,4,41,0
16,D,3,5,10,0
16,D,3,6,0,16
16,D,3,7,0,168
16,D,3,8,0,192
16,D,3,9,0,233
16,D,3,10,0,329
16,D,3,11,0,361
16,D,3,12,0,341
16,D,3,13,0,366
16,D,3,14,0,494
16,D,3,15,0,223
16,D,3,16,0,333
16,D,4,1,193,0
16,D,4,2,100,0
16,D,4,3,196,3
16,D,4,4,153,4
16,D,4,5,47,44
16,D,4,6,9,136
16,D,4,7,12,302
16,D,4,8,0,409
16,D,4,9,0,196
16,D,4,10,0,162
16,D,4,11,0,332
16,D,4,12,0,213
16,D,4,13,0,229
16,D,4,14,0,249
16,D,4,15,0,202
16,D,4,16,0,331
16,D,5,1,133,1
16,D,5,2,115,3
16,D,5,3,135,10
16,D,5,4,89,57
16,D,5,5,29,99
16,D,5,6,32,218
16,D,5,7,9,187
16,D,5,8,5,237
16,D,5,9,0,248
16,D,5,10,0,282
16,D,5,11,0,306
16,D,5,12,0,372
16,D,5,13,0,304
16,D,5,14,0,280
16,D,5,15,0,385
16,D,5,16,0,307
16,D,6,1,185,0
16,D,6,2,205,8
16,D,6,3,228,34
16,D,6,4,123,114
16,D,6,5,43,130
16,D,6,6,25,217
16,D,6,7,13,310
16,D,6,8,45,241
16,D,6,9,2,377
16,D,6,10,0,259
16,D,6,11,4,307
16,D,6,12,0,294
16,D,6,13,0,231
16,D,6,14,0,287
16,D,6,15,0,369
16,D,6,16,0,306
16,D,7,1,271,3
16,D,7,2,206,21
16,D,7,3,194,38
16,D,7,4,260,97
16,D,7,5,129,220
16,D,7,6,21,232
16,D,7,7,25,176
16,D,7,8,30,297
16,D,7,9,8,225
16,D,7,10,23,363
16,D,7,11,18,485
16,D,7,12,2,299
16,D,7,13,0,402
16,D,7,14,0,280
16,D,7,15,0,374
16,D,7,16,0,405
16,D,8,1,339,6
16,D,8,2,193,6
16,D,8,3,212,45
16,D,8,4,199,105
16,D,8,5,58,168
16,D,8,6,12,259
16,D,8,7,9,224
16,D,8,8,90,338
16,D,8,9,16,353
16,D,8,10,17,336
16,D,8,11,5,287
16,D,8,12,20,277
16,D,8,13,3,359
16,D,8,14,0,439
16,D,8,15,0,388
16,D,8,16,0,256
49,A,0,1,50,0
49,A,0,2,0,0
49,A,0,3,0,0
49,A,0,4,0,0
49,A,0,5,0,0
49,A,0,6,0,0
49,A,0,7,0,0
49,A,0,8,0,0
49,A,0,9,0,0
49,A,0,10,0,0
49,A,0,11,0,0
49,A,0,12,0,0
49,A,0,13,0,0
49,A,0,14,0,0
49,A,0,15,0,0
49,A,0,16,0,0
49,A,1,1,56,0
49,A,1,2,74,0
49,A,1,3,0,0
49,A,1,4,0,0
49,A,1,5,0,0
49,A,1,6,0,0
49,A,1,7,0,0
49,A,1,8,0,0
49,A,1,9,0,0
49,A,1,10,0,0
49,A,1,11,0,0
49,A,1,12,0,0
49,A,1,13,0,0
49,A,1,14,0,0
49,A,1,15,0,0
49,A,1,16,0,0
49,A,2,1,95,0
49,A,2,2,102,0
49,A,2,3,32,0
49,A,2,4,53,0
49,A,2,5,65,0
49,A,2,6,12,0
49,A,2,7,0,0
49,A,2,8,0,0
49,A,2,9,0,0
49,A,2,10,0,0
49,A,2,11,0,0
49,A,2,12,0,0
49,A,2,13,0,0
49,A,2,14,0,0
49,A,2,15,0,0
49,A,2,16,0,0
49,A,3,1,134,0
49,A,3,2,224,0
49,A,3,3,114,0
49,A,3,4,102,0
49,A,3,5,152,0
49,A,3,6,59,0
49,A,3,7,71,0
49,A,3,8,46,0
49,A,3,9,7,0
49,A,3,10,0,0
49,A,3,11,0,0
49,A,3,12,0,0
49,A,3,13,0,0
49,A,3,14,0,0
49,A,3,15,0,0
49,A,3,16,0,0
49,A,4,1,262,0
49,A,4,2,191,0
49,A,4,3,158,0
49,A,4,4,188,0
49,A,4,5,141,0
49,A,4,6,177,0
49,A,4,7,112,0
49,A,4,8,43,0
49,A,4,9,87,0
49,A,4,10,1,0
49,A,4,11,0,0
49,A,4,12,0,0
49,A,4,13,0,0
49,A,4,14,0,0
49,A,4,15,0,0
49,A,4,16,0,0
49,A,5,1,289,0
49,A,5,2,221,0
49,A,5,3,220,0
49,A,5,4,248,0
49,A,5,5,205,0
49,A,5,6,151,0
49,A,5,7,203,0
49,A,5,8,108,0
49,A,5,9,89,0
49,A,5,10,78,0
49,A,5,11,59,0
49,A,5,12,5,0
49,A,5,13,0,0
49,A,5,14,0,0
49,A,5,15,0,0
49,A,5,16,0,0
49,A,6,1,248,0
49,A,6,2,174,0
49,A,6,3,114,0
49,A,6,4,203,0
49,A,6,5,177,0
49,A,6,6,159,0
49,A,6,7,201,0
49,A,6,8,174,0
49,A,6,9,131,0
49,A,6,10,149,0
49,A,6,11,43,0
49,A,6,12,95,0
49,A,6,13,45,0
49,A,6,14,37,0
49,A,6,15,0,0
49,A,6,16,0,0
49,A,7,1,326,0
49,A,7,2,199,0
49,A,7,3,267,0
49,A,7,4,210,0
49,A,7,5,164,0
49,A,7,6,186,0
49,A,7,7,272,0
49,A,7,8,225,0
49,A,7,9,150,0
49,A,7,10,118,0
49,A,7,11,246,0
49,A,7,12,131,0
49,A,7,13,99,0
49,A,7,14,59,0
49,A,7,15,62,0
49,A,7,16,0,0
49,A,8,1,197,0
49,A,8,2,234,0
49,A,8,3,214,0
49,A,8,4,217,0
49,A,8,5,237,0
49,A,8,6,121,0
49,A,8,7,231,0
49,A,8,8,280,0
49,A,8,9,159,0
49,A,8,10,261,0
49,A,8,11,62,0
49,A,8,12,177,0
49,A,8,13,180,0
49,A,8,14,149,0
49,A,8,15,20,0
49,A,8,16,111,0
51,A,0,1,50,0
51,A,0,2,0,0
51,A,0,3,0,0
51,A,0,4,0,0
51,A,0,5,0,0
51,A,0,6,0,0
51,A,0,7,0,0
51,A,0,8,0,0
51,A,0,9,0,0
51,A,0,10,0,0
51,A,0,11,0,0
51,A,0,12,0,0
51,A,0,13,0,0
51,A,0,14,0,0
51,A,0,15,0,0
51,A,0,16,0,0
51,A,1,1,69,0
51,A,1,2,49,0
51,A,1,3,22,0
51,A,1,4,0,0
51,A,1,5,0,0
51,A,1,6,0,0
51,A,1,7,0,0
51,A,1,8,0,0
51,A,1,9,0,0
51,A,1,10,0,0
51,A,1,11,0,0
51,A,1,12,0,0
51,A,1,13,0,0
51,A,1,14,0,0
51,A,1,15,0,0
51,A,1,16,0,0
51,A,2,1,81,0
51,A,2,2,13,0
51,A,2,3,75,0
51,A,2,4,45,0
51,A,2,5,39,0
51,A,2,6,0,0
51,A,2,7,0,0
51,A,2,8,0,0
51,A,2,9,0,0
51,A,2,10,0,0
51,A,2,11,0,0
51,A,2,12,0,0
51,A,2,13,0,0
51,A,2,14,0,0
51,A,2,15,0,0
51,A,2,16,0,0
51,A,3,1,85,0
51,A,3,2,110,0
51,A,3,3,80,0
51,A,3,4,112,0
51,A,3,5,14,0
51,A,3,6,87,0
51,A,3,7,6,0
51,A,3,8,0,0
51,A,3,9,0,0
51,A,3,10,0,0
51,A,3,11,0,0
51,A,3,12,0,0
51,A,3,13,0,0
51,A,3,14,0,0
51,A,3,15,0,0
51,A,3,16,0,0
51,A,4,1,173,0
51,A,4,2,191,0
51,A,4,3,155,0
51,A,4,4,152,0
51,A,4,5,118,0
51,A,4,6,242,0
51,A,4,7,42,0
51,A,4,8,26,0
51,A,4,9,27,0
51,A,4,10,4,0
51,A,4,11,0,0
51,A,4,12,0,0
51,A,4,13,0,0
51,A,4,14,0,0
51,A,4,15,0,0
51,A,4,16,0,0
51,A,5,1,294,0
51,A,5,2,233,0
51,A,5,3,232,0
51,A,5,4,242,0
51,A,5,5,209,0
51,A,5,6,217,0
51,A,5,7,139,0
51,A,5,8,119,0
51,A,5,9,60,0
51,A,5,10,43,0
51,A,5,11,69,0
51,A,5,12,21,0
51,A,5,13,0,0
51,A,5,14,0,0
51,A,5,15,0,0
51,A,5,16,0,0
51,A,6,1,242,0
51,A,6,2,262,0
51,A,6,3,105,0
51,A,6,4,271,0
51,A,6,5,352,0
51,A,6,6,144,0
51,A,6,7,131,0
51,A,6,8,108,0
51,A,6,9,159,0
51,A,6,10,155,0
51,A,6,11,256,0
51,A,6,12,50,0
51,A,6,13,7,0
51,A,6,14,0,0
51,A,6,15,0,0
51,A,6,16,0,0
51,A,7,1,343,0
51,A,7,2,197,0
51,A,7,3,192,0
51,A,7,4,283,0
51,A,7,5,227,0
51,A,7,6,218,0
51,A,7,7,330,0
51,A,7,8,126,0
51,A,7,9,260,0
51,A,7,10,120,0
51,A,7,11,188,0
51,A,7,12,112,0
51,A,7,13,55,0
51,A,7,14,45,0
51,A,7,15,3,0
51,A,7,16,0,0
51,A,8,1,198,0
51,A,8,2,195,0
51,A,8,3,182,0
51,A,8,4,316,0
51,A,8,5,194,0
51,A,8,6,299,0
51,A,8,7,173,0
51,A,8,8,245,0
51,A,8,9,260,0
51,A,8,10,99,0
51,A,8,11,181,0
51,A,8,12,173,0
51,A,8,13,85,0
51,A,8,14,57,0
51,A,8,15,65,0
51,A,8,16,0,0
52,A,0,1,50,0
52,A,0,2,0,0
