run,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G38,G39,G40,G41,G42,G43,G44,G45,G46,G47,G48,G49,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G60,G61,G62,G63,G64,G65,G66,G67,G68,G69,G70,G71,G72,G73,G74,G75,G76,G77,G78,G79,G80,G81,G82,G83,G84,G85,G86,G87,G88,G89,G90,G91,G92,G93,G94,G95,G96,G97,G98,G99,G100
alphamn-1,1.146260652,1.483620772,0.492692937,0.431458731,0.401272071,0.34494775,0.321030789,0.290509838,0.268279367,0.246277257,0.239463812,0.224480205,0.213936402,0.202095746,0.193615387,0.191107935,0.183479635,0.176152713,0.169377862,0.168416282,0.163552018,0.160799264,0.15633002,0.156717733,0.151963659,0.148106941,0.148966215,0.146658493,0.142895677,0.139366487,0.140447289,0.138502178,0.134985171,0.136306286,0.133342504,0.130775606,0.130820255,0.128997713,0.126102936,0.127440783,0.125947263,0.126438208,0.124931728,0.122609359,0.122861307,0.120774875,0.118803166,0.118927719,0.117449697,0.11528085,0.116013364,0.114903509,0.113034443,0.114223344,0.112581797,0.113237663,0.111975469,0.110468083,0.111522244,0.109525167,0.108083181,0.108771413,0.107176146,0.105541335,0.106850432,0.10620478,0.107025418,0.10564229,0.104162347,0.105256402,0.103520202,0.102191092,0.103710854,0.101930481,0.100721688,0.101988766,0.101219924,0.099842588,0.1011761,0.09956299,0.099695131,0.100286689,0.099376029,0.100085215,0.099174226,0.09773247,0.096810182,0.097863946,0.096806303,0.095592376,0.096505199,0.09574602,0.096159068,0.095841834,0.0942262,0.09540752,0.094647263,0.093537585,0.094470714
alphanm-0.95,1.149397659,1.490894779,0.489694394,0.431726742,0.395228664,0.340723328,0.316247311,0.285633779,0.27139087,0.250641388,0.23410385,0.227028692,0.21632165,0.206497838,0.201613462,0.192621705,0.191611107,0.184679466,0.177565955,0.176887531,0.17105333,0.170174111,0.16488519,0.16634374,0.160788376,0.155798911,0.15461293,0.150453738,0.150966371,0.147206087,0.147341874,0.143876808,0.145036371,0.141147686,0.142671125,0.139027625,0.13980599,0.136013421,0.136331387,0.133709751,0.13491891,0.131057911,0.132008979,0.1296765,0.130132575,0.128115146,0.129148194,0.126197174,0.127829689,0.124767943,0.125120383,0.123085816,0.122461663,0.12120971,0.122004107,0.120111437,0.11772942,0.118967915,0.119227184,0.11702615,0.117166004,0.115104168,0.115789061,0.114056759,0.115556267,0.112468919,0.113408915,0.112080583,0.11236627,0.111050097,0.111774804,0.110223085,0.11105298,0.108720539,0.106862925,0.106952866,0.107906245,0.106348469,0.104726505,0.10533019,0.105948011,0.104832242,0.104748674,0.103270422,0.101339622,0.101760933,0.102839661,0.101888431,0.102410441,0.10130444,0.101812957,0.100023768,0.101275207,0.100207927,0.100097579,0.098692105,0.100110016,0.098822969,0.096375542
alphanm-0.96,1.145243163,1.461119171,0.490337522,0.426362722,0.396128832,0.341504132,0.317172525,0.28432043,0.259544616,0.252496058,0.232017388,0.218223967,0.216553581,0.203977959,0.194390236,0.192819623,0.183968683,0.1769278,0.176688557,0.171013508,0.171015779,0.165557544,0.16012253,0.159931465,0.155440635,0.155087397,0.152420608,0.153797467,0.148215285,0.145028815,0.145678943,0.141917311,0.141928313,0.138522127,0.140381263,0.135895458,0.13735761,0.136195893,0.135886695,0.133762391,0.1335163,0.13048808,0.13163345,0.12909221,0.126535387,0.127234109,0.125376161,0.125329897,0.123794865,0.124054886,0.121797311,0.12373632,0.121484305,0.122937619,0.120494199,0.120650652,0.118457703,0.119370552,0.117438583,0.117803947,0.116903837,0.117352039,0.115220226,0.112812767,0.113892469,0.111190264,0.112076465,0.110544451,0.111201823,0.109949237,0.111392812,0.109300094,0.109217735,0.107941087,0.107969532,0.107114112,0.108194198,0.107189922,0.105784815,0.10653946,0.105422048,0.104838163,0.104203101,0.105157374,0.103240569,0.101639603,0.102307424,0.100863537,0.102154821,0.102688211,0.101436798,0.099575208,0.100263602,0.099225262,0.100141456,0.099131935,0.099250613,0.097700058,0.098865666
alphanm-0.97,1.15319107,1.468066776,0.494973561,0.432093136,0.394552734,0.340972114,0.314954978,0.284896569,0.260878597,0.250670139,0.235805141,0.220492413,0.216719906,0.205579673,0.196062164,0.186060608,0.186046679,0.177154836,0.170749736,0.172079053,0.166533723,0.166218149,0.160837377,0.155954676,0.155624447,0.152139979,0.153560954,0.149189341,0.145512311,0.144904379,0.142975835,0.14250552,0.138858135,0.140160616,0.136525472,0.137028373,0.134937018,0.131609764,0.133988312,0.129628665,0.130396741,0.128089673,0.128758857,0.126446558,0.1242131,0.124854488,0.122876059,0.123837342,0.121591708,0.121999064,0.120009714,0.120440322,0.118997643,0.116622936,0.117126184,0.116887286,0.117332619,0.116021617,0.115496636,0.113705753,0.111735008,0.111984993,0.110492064,0.11066447,0.109393344,0.110051616,0.108053547,0.106601814,0.107496756,0.107927772,0.106505033,0.105420896,0.10596281,0.105618468,0.106171186,0.104492487,0.106446816,0.104085867,0.10549466,0.103984477,0.103077606,0.102812889,0.101792106,0.102631128,0.101371711,0.100081044,0.10071075,0.099521902,0.100220415,0.09921791,0.100837137,0.099169398,0.100239466,0.099336273,0.098119631,0.098068697,0.097648797,0.09838864,0.096976132
alphanm-0.98,1.153927431,1.482501968,0.494086721,0.434296903,0.396651772,0.344897345,0.317784756,0.287806929,0.264083008,0.24383237,0.238722322,0.224067511,0.211306319,0.207812443,0.19764413,0.190605015,0.183652038,0.180462189,0.176721635,0.170932975,0.171000344,0.166091173,0.160077769,0.161440899,0.156147804,0.151847334,0.152168785,0.147484279,0.147193631,0.143422281,0.140034555,0.140637615,0.13788866,0.138563394,0.135709065,0.133450371,0.133544168,0.131023614,0.132308017,0.130408466,0.12767858,0.128418132,0.126021574,0.127845267,0.12571097,0.12377701,0.123795544,0.121502601,0.121905897,0.119407856,0.118188047,0.119413751,0.118095958,0.118716037,0.11735369,0.11852613,0.11740761,0.114871631,0.115666402,0.114018219,0.115180138,0.112239003,0.113644712,0.112573583,0.110148814,0.111330361,0.109377933,0.110224035,0.109627049,0.107901704,0.109574288,0.108112931,0.109183051,0.107860553,0.105827494,0.106824012,0.105539154,0.105963267,0.105012131,0.103517324,0.10403058,0.102956072,0.103933014,0.102230148,0.101324478,0.10208378,0.101527895,0.102373203,0.101157706,0.101926598,0.100324867,0.099448846,0.101278508,0.099580362,0.09957912,0.098198523,0.097189722,0.098398907,0.096617222
alphanm-0.99,1.154129873,1.472892232,0.488934912,0.430507477,0.398782839,0.344569245,0.319221819,0.289117781,0.265414607,0.245662627,0.235709314,0.223231999,0.210246466,0.200290805,0.197705054,0.18998277,0.182867748,0.176573458,0.174237706,0.170084291,0.164379378,0.164456133,0.159653962,0.155131616,0.155263704,0.152123778,0.14807279,0.148289546,0.144136748,0.141805754,0.142833544,0.139623959,0.137003353,0.137582072,0.135353808,0.132421884,0.132950278,0.130138641,0.130721847,0.129314522,0.12737684,0.128578946,0.12583791,0.123891093,0.125461982,0.123492651,0.124429138,0.123250747,0.120752178,0.120393945,0.118073132,0.118722982,0.117199482,0.115618981,0.113453362,0.113678067,0.112450251,0.111796084,0.110508491,0.108804022,0.110129537,0.109056539,0.109380411,0.108005138,0.106822563,0.107119618,0.105371755,0.106883664,0.105419218,0.104513311,0.105796357,0.104491796,0.104368438,0.10421756,0.103308472,0.103725775,0.102073829,0.10039691,0.101174581,0.100489546,0.098890679,0.099835668,0.099214655,0.099862988,0.098160271,0.099155912,0.098383584,0.097098597,0.096603899,0.097408208,0.096418325,0.098090108,0.09709995,0.097518631,0.096357159,0.094452652,0.095388587,0.09395644,0.092859163
alphanm-1.01,1.157313108,1.470401898,0.497180569,0.442310572,0.401210377,0.348955235,0.324941919,0.294580119,0.267647576,0.24909192,0.230841681,0.225876729,0.212812346,0.202963334,0.194816255,0.187104142,0.178969122,0.179384049,0.172122875,0.166966173,0.161406102,0.161829854,0.157231242,0.153535841,0.149368846,0.149878065,0.145867013,0.143180387,0.14014789,0.142129633,0.138764876,0.135832486,0.136979506,0.134585182,0.131870697,0.133922221,0.130508017,0.128901804,0.129845616,0.126959915,0.124961384,0.122573927,0.123800061,0.121755487,0.120443716,0.121605034,0.118954314,0.117472639,0.117260509,0.116922054,0.114613673,0.115348868,0.113853127,0.11148838,0.112465477,0.110723485,0.109209487,0.109972348,0.109113333,0.107766807,0.105946224,0.106359694,0.105709391,0.106640682,0.106286318,0.105017369,0.106208372,0.104527476,0.103088612,0.103832018,0.102578937,0.101591942,0.102730396,0.101405369,0.100374304,0.10121227,0.100229168,0.099469892,0.099671598,0.0987514,0.097837506,0.097095224,0.097829676,0.096666255,0.0960277,0.096425499,0.095644607,0.095972984,0.09529811,0.0940504,0.095161404,0.093653883,0.092939094,0.091853466,0.092290775,0.091536519,0.091061208,0.091425936,0.091257617
alphanm-1.02,1.157960742,1.46915033,0.493911453,0.437496113,0.400400897,0.348978611,0.310001258,0.295267641,0.268528659,0.250040658,0.233165224,0.221138511,0.216579962,0.207506642,0.197322777,0.188560398,0.181236943,0.175496812,0.174893658,0.169419362,0.162796596,0.158142574,0.15469126,0.155512113,0.151441218,0.147187821,0.14359139,0.144643194,0.140863103,0.138048183,0.136482696,0.136637072,0.133672799,0.130762573,0.128597703,0.129195632,0.12691441,0.125026505,0.125868364,0.124433207,0.121545758,0.119549536,0.120863754,0.119084722,0.117504851,0.118032469,0.116861304,0.115470416,0.114319165,0.115297473,0.114069647,0.112727564,0.114434571,0.113155954,0.111772025,0.110116635,0.11042413,0.108973046,0.107636496,0.107073432,0.108325734,0.106617216,0.105740526,0.106484933,0.10507082,0.103455246,0.102351898,0.103529952,0.102642904,0.101825073,0.102965522,0.101903839,0.101802197,0.102140232,0.101021882,0.100141049,0.098565141,0.099413872,0.098651946,0.097569146,0.096717199,0.097004333,0.096368265,0.095705326,0.096422148,0.095830884,0.094680451,0.093561949,0.094004805,0.09307579,0.09295363,0.092067812,0.09261367,0.092290989,0.091269585,0.092140099,0.091014433,0.090052142,0.089397109
alphanm-1.03,1.1439639,1.465977072,0.495935245,0.433233118,0.401790062,0.347051474,0.307998483,0.291638078,0.270223237,0.248875081,0.232158207,0.21998625,0.208574838,0.205532749,0.196024624,0.189971883,0.183233149,0.17646772,0.170613281,0.169035645,0.164654461,0.161786684,0.156970568,0.151070203,0.148776849,0.14949303,0.147160843,0.144446486,0.141298798,0.141177344,0.138180698,0.135477877,0.132682801,0.130028636,0.128251666,0.129479446,0.12857535,0.125853695,0.124114116,0.125097163,0.123164007,0.122145098,0.120824136,0.121934386,0.120281545,0.118569849,0.116752998,0.117938214,0.115755802,0.113886284,0.112926034,0.11409424,0.113133391,0.110632694,0.109696978,0.110935792,0.109038714,0.107554964,0.106251696,0.106958289,0.106048762,0.10495371,0.106673898,0.105691448,0.104730267,0.103490911,0.104392414,0.102929994,0.101634197,0.103115488,0.102666071,0.101663059,0.100736632,0.101515536,0.100711097,0.100491207,0.099003517,0.10077494,0.098447572,0.097277819,0.096472523,0.097637853,0.096973925,0.095894832,0.095565551,0.096619495,0.096128016,0.095025257,0.096096764,0.095517382,0.094097936,0.093461777,0.094269713,0.092797182,0.09275274,0.092194906,0.09310849,0.092438936,0.09178571
alphanm-1.04,1.146417971,1.482863009,0.499178855,0.433339275,0.405568218,0.347829848,0.312865827,0.295596313,0.27046903,0.251160691,0.237139419,0.223246072,0.211065346,0.199703304,0.192681761,0.185031097,0.184427331,0.178189145,0.172118811,0.167355389,0.161746017,0.15708849,0.153348903,0.149149253,0.149410681,0.147135715,0.143453189,0.140484715,0.137999304,0.138893362,0.136138093,0.134566249,0.132231746,0.129997026,0.127749867,0.128246758,0.12655138,0.12460276,0.121703971,0.119933004,0.121270756,0.119437005,0.117783591,0.116619772,0.114987546,0.113035323,0.114397242,0.111961048,0.111644577,0.112992556,0.111450206,0.10988937,0.108719861,0.107380812,0.108421139,0.107607699,0.106860511,0.105981373,0.106870627,0.105581137,0.103547905,0.10270072,0.104560777,0.10281678,0.101884356,0.101162906,0.100757541,0.102597233,0.101178564,0.100551475,0.099838928,0.100336987,0.099089808,0.098453067,0.097325481,0.096563303,0.097950194,0.096294978,0.095359278,0.094644389,0.095280967,0.094800858,0.093962003,0.09362092,0.09290408,0.094203475,0.093644431,0.092949704,0.09210378,0.091338849,0.091598264,0.091281865,0.090707358,0.089915551,0.090330077,0.089411552,0.089413061,0.088535884,0.087908746
